user_id,start_hub,start_latitude,start_longitude,end_hub,end_latitude,end_longitude,total_distance,total_cost,start_time_iso,end_time_iso
529234,FEDERAL RESERVE BANK OF ATLANTA,33.78308,-84.38433333,CENTENNIAL OLYMPIC PARK,33.76045667,-84.394555,2.72,13.2,2017-09-14 10:08:00,2017-09-14 11:36:00
383145,HOME PARK,33.78187,-84.40454167,GEORGIA TECH - CRC,33.77562333,-84.40243,1.05,0.0,2017-09-14 10:18:00,2017-09-14 10:31:00
520760,MARTA - INMAN PARK ,33.75736667,-84.35376333,INMAN PARK,33.761905,-84.35788333,0.52,0.0,2017-09-14 10:24:00,2017-09-14 10:29:00
383769,PARK & MEMORIAL,33.746425,-84.36952,IRWIN & EASTSIDE BELTLINE ,33.75757,-84.364665,1.08,0.0,2017-09-14 10:25:00,2017-09-14 10:31:00
347222,,33.76146833,-84.36594333,HISTORIC FOURTH WARD PARK,33.770775,-84.36542,1.36,-1.0,2017-09-14 10:34:00,2017-09-14 10:44:00
145431,MARTA - NORTH AVE ,33.77238667,-84.38716833,5TH & ARGONNE,33.775535,-84.37764,0.77,0.0,2017-09-14 10:34:00,2017-09-14 10:41:00
457086,RANDOLPH & EDGEWOOD,33.75442833,-84.36798333,HISTORIC FOURTH WARD PARK,33.77080667,-84.365475,1.57,0.0,2017-09-14 10:35:00,2017-09-14 10:46:00
490547,RANDOLPH & EDGEWOOD,33.754545,-84.36791667,GSU ARTS & HUMANITIES BLDG,33.754215,-84.38633833,1.08,0.0,2017-09-14 10:45:00,2017-09-14 10:54:00
501977,HARDY IVY PARK,33.76273167,-84.38731167,GEORGIA TECH - CLOUGH BUILDING,33.77525,-84.39625833,1.48,0.0,2017-09-14 10:45:00,2017-09-14 10:56:00
498005,TOWER PLACE - BUCKHEAD,33.84857333,-84.369845,MARTA - LENOX SQUARE,33.84562667,-84.358845,1.2,0.0,2017-09-14 10:46:00,2017-09-14 10:56:00
524587,TECH PARKWAY,33.777505,-84.40775,GEORGIA TECH - CRC,33.77561,-84.40242333,0.44,0.0,2017-09-14 10:46:00,2017-09-14 10:56:00
530115,5TH & ARGONNE,33.77555167,-84.37772,GREENWOOD AVE BELTLINE,33.77671833,-84.36516333,1.93,0.0,2017-09-14 10:50:00,2017-09-14 11:20:00
530115,5TH & ARGONNE,33.775505,-84.37761,GREENWOOD AVE BELTLINE,33.77671,-84.365185,1.93,4.65,2017-09-14 10:51:00,2017-09-14 11:21:00
484319,GEORGIA TECH -BOBBY DODD STADIUM,33.77148333,-84.39196667,GEORGIA TECH - CLOUGH BUILDING,33.77518833,-84.39619167,0.52,0.0,2017-09-14 10:54:00,2017-09-14 10:58:00
333238,MARTA - NORTH AVE ,33.77234667,-84.38705667,GEORGIA TECH - TRANSIT HUB,33.77269667,-84.39723667,0.7,0.0,2017-09-14 10:56:00,2017-09-14 11:01:00
135315,,33.75131833,-84.39972,CITY HALL,33.74836667,-84.39088333,0.95,-1.0,2017-09-14 11:03:00,2017-09-14 11:13:00
136929,GEORGIA TECH - TRANSIT HUB,33.7728,-84.39729667,,33.77394833,-84.397965,0.43,0.0,2017-09-14 11:05:00,2017-09-14 13:59:00
